JobTitle	Rate	SalariedFlag	max_rate	mod_rate_1	mod_rate_0
Sales Representative	23.0769	1	23.0769	23.0769	NULL
Sales Representative	23.0769	1	23.0769	23.0769	NULL
Sales Representative	23.0769	1	23.0769	23.0769	NULL
Sales Representative	23.0769	1	23.0769	23.0769	NULL
Scheduling Assistant	8.62	0	16.00	NULL	8.62
Scheduling Assistant	13.50	0	16.00	NULL	13.50
Scheduling Assistant	16.00	0	16.00	NULL	16.00
Scheduling Assistant	16.00	0	16.00	NULL	16.00
Scheduling Assistant	16.00	0	16.00	NULL	16.00
Scheduling Assistant	16.00	0	16.00	NULL	16.00
Senior Design Engineer	36.0577	1	36.0577	36.0577	NULL
Senior Tool Designer	8.62	0	29.8462	NULL	8.62
Senior Tool Designer	23.72	0	29.8462	NULL	23.72
Senior Tool Designer	28.8462	0	29.8462	NULL	28.8462
Senior Tool Designer	29.8462	0	29.8462	NULL	29.8462
Shipping and Receiving Clerk	9.50	0	9.50	NULL	9.50
Shipping and Receiving Clerk	9.50	0	9.50	NULL	9.50
Shipping and Receiving Supervisor	19.2308	1	19.2308	19.2308	NULL
Stocker	9.00	0	9.00	NULL	9.00
Stocker	9.00	0	9.00	NULL	9.00
Stocker	9.00	0	9.00	NULL	9.00
Tool Designer	25.00	0	25.00	NULL	25.00
Tool Designer	25.00	0	25.00	NULL	25.00
Vice President of Engineering	63.4615	1	63.4615	63.4615	NULL
Vice President of Production	84.1346	1	84.1346	84.1346	NULL
Vice President of Sales	72.1154	1	72.1154	72.1154	NULL
